Plate,Well ,Nutrients,Treatment,area_LM_day00,area_SP_day00,area_WB_day00,area_TOT_day00,comp_LM_day00,comp_SP_day00,comp_WB_day00,area_LM_day02,area_SP_day02,area_WB_day02,area_TOT_day02,comp_LM_day02,comp_SP_day02,comp_WB_day02,area_LM_day04,area_SP_day04,area_WB_day04,area_TOT_day04,comp_LM_day04,comp_SP_day04,comp_WB_day04,area_LM_day06,area_SP_day06,area_WB_day06,area_TOT_day06,comp_LM_day06,comp_SP_day06,comp_WB_day06,area_LM_day08,area_SP_day08,area_WB_day08,area_TOT_day08,comp_LM_day08,comp_SP_day08,comp_WB_day08,area_LM_day10,area_SP_day10,area_WB_day10,area_TOT_day10,comp_LM_day10,comp_SP_day10,comp_WB_day10
I,6,high,SP,0,79.173,0,79.173,0,100,0,0,101.348,0,101.348,0,100,0,0,180.112,0,180.112,0,100,0,0,330.691,0,330.691,0,100,0,0,478.351,0,478.351,0,100,0,0,652.257,0,652.257,0,100,0
J,1,high,WB,0,0,78.836,78.836,0,0,100,0,0,84.304,84.304,0,0,100,0,0,151.224,151.224,0,0,100,0,0,283.68,283.68,0,0,100,0,0,337.516,337.516,0,0,100,0,0,410.219,410.219,0,0,100
J,2,high,LM & SP,41.702,62.167,0,103.869,40.14864878,59.85135122,0,57.669,73.883,0,131.552,43.8374179,56.1625821,0,75.152,100.733,0,175.885,42.72791881,57.27208119,0,110.092,147.629,0,257.721,42.71751235,57.28248765,0,129.368,153.396,0,282.764,45.75122717,54.24877283,0,147.311,162.674,0,309.985,47.52197687,52.47802313,0
J,3,high,LM & WB,34.514,0,54.08,88.594,38.95749148,0,61.04250852,55.563,0,53.229,108.792,51.07268917,0,48.92731083,88.728,0,103.702,192.43,46.10923453,0,53.89076547,148.187,0,171.76,319.947,46.31610861,0,53.68389139,208.566,0,181.209,389.775,53.50933231,0,46.49066769,277.171,0,194.838,472.009,58.7215498,0,41.2784502
J,4,low,WB,0,0,109.752,109.752,0,0,100,0,0,99.836,99.836,0,0,100,0,0,79.715,79.715,0,0,100,0,0,87.143,87.143,0,0,100,0,0,73.446,73.446,0,0,100,0,0,68.624,68.624,0,0,100
J,5,low,LM & SP,60.101,48.84,0,108.941,55.1683939,44.8316061,0,65.549,60.754,0,126.303,51.89821303,48.10178697,0,71.872,58.855,0,130.727,54.97869606,45.02130394,0,84.074,61.185,0,145.259,57.87868566,42.12131434,0,91.783,64.372,0,156.155,58.77685633,41.22314367,0,85.814,61.377,0,147.191,58.30111895,41.69888105,0
J,6,low,LM & WB,40.09,0,49.601,89.691,44.69790726,0,55.30209274,48.089,0,40.703,88.792,54.15915848,0,45.84084152,59.716,0,48.315,108.031,55.27672612,0,44.72327388,70.363,0,46.492,116.855,60.21394035,0,39.78605965,73.203,0,38.262,111.465,65.67352981,0,34.32647019,80.454,0,35.166,115.62,69.58484691,0,30.41515309
K,1,low,SP & WB,0,61.232,46.674,107.906,0,56.74568606,43.25431394,0,57.189,44.712,101.901,0,56.12211853,43.87788147,0,62.193,49.297,111.49,0,55.78347834,44.21652166,0,69.5,48.253,117.753,0,59.02185082,40.97814918,0,40.899,66.721,107.62,0,38.00315926,61.99684074,0,69.684,37.688,107.372,0,64.89960139,35.10039861
K,2,low,LM & SP & WB,29.703,33.216,53.63,116.549,25.48541815,28.49960103,46.01498082,31.115,34.507,37.441,103.063,30.19027197,33.48146279,36.32826524,42.766,37.733,41.239,121.738,35.12954049,30.9952521,33.87520741,49.121,39.104,38.101,126.326,38.88431518,30.95483115,30.16085366,52.685,47.685,31.552,131.922,39.93647762,36.14635921,23.91716317,58.882,47.894,28.793,135.569,43.43323326,35.32813549,21.23863125
K,3,low,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
